Name,Tag,Clan,Total Wars,Last War Date,Duration
Karuko,#2G2YCU0P9,PETARUNG SEJATI,3,11/9/2021,68d
Sir Stomp A Lot,#GGP0J2VQ,PETARUNG SEJATI,3,11/9/2021,68d
Pride,#92GJ2JUCG,PETARUNG SEJATI,3,11/9/2021,68d
DANG,#Y9R8VC00,Dark Matter,11,1/14/2022,2d
wtxmp,#YUP8VPGU2,Dark Matter,11,1/14/2022,2d
Pix,#2U2LLLQVV,Dark Matter,9,1/14/2022,2d
Lexpachi,#28JGQ9YPV,Dark Matter,11,1/14/2022,2d
Panther,#8PYP2J02J,Dark Matter,11,1/14/2022,2d
Aussie,#2CJGPPR0P,Dark Matter,11,1/14/2022,2d
Envy,#2UQC92UUY,Dark Matter,2,1/14/2022,2d
Collin,#PP2L0LUL9,Dark Matter,2,1/14/2022,2d
Chewi,#9YUP2GLCY,Dark Matter,9,1/14/2022,2d
Zeakobeastly,#29J0RGPUJ,Dark Matter,8,1/14/2022,2d
Bullet,#9PC2U8G98,Dark Matter,3,1/14/2022,2d
McLovin,#RLRQU09P,Dark Matter,7,1/14/2022,2d
Sug,#2990QPY0,Dark Matter,11,1/14/2022,2d
Alex,#LUQ9989,Dark Matter,11,1/14/2022,2d
Zeus,#LC20GY0L,Dark Matter,4,1/14/2022,2d
RH Rangers,#2JJGL8JL0,Dark Matter,11,1/14/2022,2d
Dragons,#C292RPPY,Dark Matter,9,1/14/2022,2d
Hamzathebaws,#88CQGPCU,Dark Matter,2,1/14/2022,2d
NotoriousBRFITE,#JR8UQ2GY,Dark Matter,7,1/14/2022,2d
Drago,#JGYQV8GL,Dark Matter,9,1/14/2022,2d
Solaire,#8CLRRLRUR,Dark Matter,11,1/14/2022,2d
