Name,Tag,Last War,Town Hall,Clan,Total Wars
Aurora,#LQYQLGRQY,5/31/2021,10,Endor,1
morfowt,#2PLJPGR0Q,5/31/2021,12,Endor,1
Dry Dream,#LVY9R20CR,6/29/2021,11,Killer_Black_Wf,8
Hypathios,#82C9UC0U9,6/29/2021,12,Killer_Black_Wf,8
marbear,#Y8QUY2LLQ,6/29/2021,9,Killer_Black_Wf,6
Lindberghh II,#LUCC0GYPY,6/29/2021,10,Killer_Black_Wf,3
Elusive,#PJRGJUY08,6/29/2021,10,Killer_Black_Wf,4
Karuko,#2G2YCU0P9,6/29/2021,11,Killer_Black_Wf,8
o0o_Jerson_o0o,#PL9VLC9RP,6/29/2021,11,Killer_Black_Wf,8
Harvey,#PUGJ2R0C,6/29/2021,10,Killer_Black_Wf,8
go easy on me,#LJVCYVPV9,6/29/2021,10,Killer_Black_Wf,4
Sandip!,#2GCV29CGG,6/29/2021,9,Killer_Black_Wf,7
Harsh (gt)25,#2CJPGVLQ2,6/29/2021,11,Killer_Black_Wf,3
luca,#L09J8JPY0,6/29/2021,11,Killer_Black_Wf,6
Warlords Outcry,#VG0PV298,6/29/2021,11,Killer_Black_Wf,7
Baby Dragon,#LPU228892,6/27/2021,10,Killer_Black_Wf,1
iopo,#LYR9JGUYQ,6/27/2021,9,Killer_Black_Wf,2
Willy,#22Q8Y2CU9,6/25/2021,10,Killer_Black_Wf,2
curtickle,#Q08UPC0G,6/18/2021,10,Killer_Black_Wf,3
Sloth,#Y9V8LUCLQ,6/15/2021,10,Killer_Black_Wf,1
